block_timestamp,quote_amount,token_amount,VWAP,quote
2025-10-10 13:55:00+00:00,9.898297,0.02225255959810225,444.81611009118024,USDC
2025-10-10 14:50:00+00:00,4820.487045,10.77029846777791,447.57228032460887,USDC
2025-10-10 15:00:00+00:00,1431.886227,3.267112999203284,438.2726362232279,USDC
2025-10-10 15:05:00+00:00,1597.652959,3.6838825027937414,433.68727362731846,USDC
2025-10-10 15:20:00+00:00,657.880838,1.528916,430.2923365312418,USDC
2025-10-10 16:45:00+00:00,594.997116,1.39983651,425.04757644876685,USDC
2025-10-10 18:35:00+00:00,178.003831,0.4133364392363969,430.65119380436573,USDC
2025-10-10 18:45:00+00:00,453.718576,1.08,420.10979259259256,USDC
2025-10-11 05:50:00+00:00,230.632488,0.540099688237415,427.018369058231,USDC
2025-10-11 06:30:00+00:00,299.734199,0.7170411997984163,418.0153094191311,USDC
2025-10-11 06:45:00+00:00,191.431878,0.461775,414.5566087380218,USDC
2025-10-11 20:50:00+00:00,15.647,0.037876740968221204,413.1031234479207,USDC
2025-10-11 23:30:00+00:00,0.9915,0.002352950702829925,421.38579393419076,USDC
2025-10-12 00:30:00+00:00,238.032325,0.5626177338668803,423.08002516024544,USDC
2025-10-12 03:15:00+00:00,4.129673,0.00992014,416.29180636563603,USDC
2025-10-12 06:00:00+00:00,265.080005,0.6396790148928,414.39534333391134,USDC
2025-10-12 22:30:00+00:00,1.228332,0.002918198246326975,420.92136870620584,USDC
2025-10-12 23:50:00+00:00,3.474425,0.008422258341189091,412.52890367994405,USDC
2025-10-13 00:35:00+00:00,886.145742,2.0745180693287635,427.15739867559876,USDC
2025-10-13 02:45:00+00:00,36.352285,0.08560682785300411,424.6423551918158,USDC
2025-10-13 03:40:00+00:00,501.876436,1.192633,420.813809445152,USDC
2025-10-13 05:10:00+00:00,8.7,0.020431733746410174,425.80821128449645,USDC
2025-10-13 08:25:00+00:00,8.34673,0.02,417.33650000000006,USDC
2025-10-13 10:50:00+00:00,218.075,0.5103594973020743,427.2968390963921,USDC
2025-10-13 11:20:00+00:00,515.329396,1.2367409616,416.68337347968696,USDC
2025-10-13 15:30:00+00:00,198.452892,0.4692991609120409,422.8707582053302,USDC
2025-10-13 18:05:00+00:00,680.692379,1.5863419234228262,429.09562494022737,USDC
2025-10-14 00:20:00+00:00,9.920873,0.022856987984345722,434.04113467595124,USDC
2025-10-14 00:40:00+00:00,8.913915,0.0209536966356334,425.4101390797645,USDC
2025-10-14 00:45:00+00:00,9.924987,0.022865773244630027,434.05429126831996,USDC
2025-10-14 03:15:00+00:00,9.904494,0.02328190168167755,425.4160220852863,USDC
2025-10-14 04:25:00+00:00,5.081459,0.011947665,425.3097990276761,USDC
2025-10-14 07:15:00+00:00,7.361809,0.016964205058582395,433.96133061216284,USDC
2025-10-14 08:50:00+00:00,10.181252,0.02393871324455344,425.3048982203105,USDC
2025-10-14 09:20:00+00:00,3.0,0.006914223630093402,433.88819345426265,USDC
2025-10-14 10:20:00+00:00,200.743567,0.46111152369663067,435.34710516597494,USDC
2025-10-14 11:00:00+00:00,545.955151,1.2869801042947808,424.2141344517241,USDC
2025-10-14 15:45:00+00:00,110.245836,0.25657284806434666,429.6862931199607,USDC
2025-10-14 16:25:00+00:00,28.858254,0.0684327484331329,421.70239630515516,USDC
2025-10-14 21:45:00+00:00,30.675045,0.07129162799254764,430.2755577864847,USDC
2025-10-15 12:30:00+00:00,9.979943,0.02317868505537695,430.5655379568165,USDC
2025-10-15 12:45:00+00:00,4.949443,0.011727648461559681,422.03200549735476,USDC
2025-10-15 13:30:00+00:00,239.194594,0.553343394405303,432.27152690070614,USDC
2025-10-15 14:25:00+00:00,274.71373,0.6301471721212765,435.95169851389784,USDC
2025-10-15 15:30:00+00:00,1008.354722,2.2650414085814705,445.18158395678216,USDC
2025-10-15 15:35:00+00:00,493.543322,1.12174925,439.9765116847638,USDC
2025-10-15 17:10:00+00:00,485.732488,1.12192906,432.9440294558374,USDC
2025-10-15 17:50:00+00:00,18.539106,0.0422941459346495,438.3374008461021,USDC
2025-10-15 21:25:00+00:00,433.17625,0.9809492384184852,441.5888539741152,USDC
2025-10-15 22:25:00+00:00,5.900285,0.013265869088940733,444.77183970697035,USDC
2025-10-15 23:00:00+00:00,5.782874,0.013265869088940733,435.9212322410877,USDC
2025-10-16 09:25:00+00:00,79.990541,0.1837571600524,435.30570986833914,USDC
2025-10-16 09:50:00+00:00,4.652918,0.010703769893954058,434.698993541347,USDC
2025-10-16 13:30:00+00:00,1254.4226489999999,2.930980553826863,427.98736667227314,USDC
2025-10-16 14:30:00+00:00,247.526264,0.5703626605139731,433.9804849373304,USDC
2025-10-16 18:10:00+00:00,495.169941,1.1690463118012422,423.567429280926,USDC
2025-10-17 02:00:00+00:00,1.960618,0.004574233932835515,428.62215373944275,USDC
2025-10-17 02:20:00+00:00,7.802947,0.01857618722125105,420.0510528378759,USDC
